Agent,Attribute,Specialty,Type,Rarity
Zhu Yuan,Ether,Attack,Pierce,S Rank
Ellen,Ice,Attack,Slash,S Rank
Grace,Electric,Anomaly,Pierce,S Rank
Soldier 11,Fire,Attack,Slash,S Rank
Nekomata,Physical,Attack,Slash,S Rank
Lycaon,Ice,Stun,Strike,S Rank
Koleda,Fire,Stun,Strike,S Rank
Rina,Electric,Support,Strike,S Rank
Piper,Physical,Anomaly,Slash,A Rank
Lucy,Fire,Support,Strike,A Rank
Corin,Physical,Attack,Slash,A Rank
Anton,Electric,Attack,Pierce,A Rank
Ben,Fire,Defense,Strike,A Rank
Soukaku,Ice,Support,Slash,A Rank
Billy,Physical,Attack,Pierce,A Rank
Nicole,Ether,Support,Strike,A Rank
Anby,Electric,Stun,Slash,A Rank
